"종목명","종가","대비","등락률","종목코드","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률","시장구분","업종명","시가총액"
"삼성전자",65900,-100,-0.15,"005930",4950,13.31,4917,13.4,57951,1.14,1446,2.19,"KOSPI","전기·전자",390104139059800
"SK하이닉스",266000,-3500,-1.3,"000660",28732,9.26,44112,6.03,107256,2.48,2204,0.83,"KOSPI","전기·전자",193648629090000
"LG에너지솔루션",363500,-4500,-1.22,"373220",NA,NA,4891,74.32,90240,4.03,0,0,"KOSPI","전기·전자",8.5059e+13
"삼성바이오로직스",1066000,-22000,-2.02,"207940",15221,70.03,22787,46.78,153212,6.96,0,0,"KOSPI","제약",7.5871484e+13
"한화에어로스페이스",945000,4000,0.43,"012450",46002,20.54,38335,24.65,108184,8.74,3500,0.37,"KOSPI","운송장비·부품",48727413945000
"KB금융",118800,1600,1.37,"105560",12880,9.22,14985,7.93,154949,0.77,3174,2.67,"KOSPI","기타금융",45317697836400
"삼성전자우",54400,-300,-0.55,"005935",NA,NA,NA,NA,NA,NA,1447,2.66,"KOSPI","전기·전자",44389021721600
"현대차",216500,-1000,-0.46,"005380",47615,4.55,41778,5.18,413568,0.52,12000,5.54,"KOSPI","운송장비·부품",44330056339000
"두산에너빌리티",65900,500,0.76,"034020",174,378.74,639,103.13,11705,5.63,0,0,"KOSPI","기계·장비",42212979521400
"기아",104100,-900,-0.86,"000270",24893,4.18,21861,4.76,141812,0.73,6500,6.24,"KOSPI","운송장비·부품",41397720991200
"셀트리온",178000,-2400,-1.33,"068270",1884,94.48,4858,36.64,78248,2.27,750,0.42,"KOSPI","제약",41103820876000
"HD현대중공업",444500,24500,5.83,"329180",7001,63.49,18095,24.57,64259,6.92,2090,0.47,"KOSPI","운송장비·부품",39459650062000
"NAVER",234500,7500,3.3,"035420",12702,18.46,13038,17.99,170953,1.37,1130,0.48,"KOSPI","IT 서비스",37153478376000
"신한지주",71200,1900,2.74,"055550",8441,8.44,10299,6.91,112364,0.63,2160,3.03,"KOSPI","기타금융",34567239300800
"삼성물산",168600,-300,-0.18,"028260",13629,12.37,14102,11.96,189865,0.89,2600,1.54,"KOSPI","유통",28658045318400
"한화오션",90000,1200,1.35,"042660",1648,54.61,3137,28.69,15857,5.68,0,0,"KOSPI","운송장비·부품",27577205460000
"현대모비스",297500,1500,0.51,"012330",44939,6.62,47829,6.22,509212,0.58,6000,2.02,"KOSPI","운송장비·부품",27309040465000
"POSCO홀딩스",332500,-1500,-0.45,"005490",14451,23.01,20365,16.33,732527,0.45,10000,3.01,"KOSPI","금속",26910206540000
"하나금융지주",92500,1500,1.65,"086790",12629,7.32,14247,6.49,151798,0.61,3600,3.89,"KOSPI","기타금융",26336959732500
"삼성생명",128500,300,0.23,"032830",11732,10.95,11734,10.95,171141,0.75,4500,3.5,"KOSPI","보험",2.57e+13
"HMM",24600,0,0,"011200",4999,4.92,1772,13.88,31615,0.78,600,2.44,"KOSPI","운송·창고",25215971601600
"HD한국조선해양",354000,16500,4.89,"009540",16578,21.35,38059,9.3,156961,2.26,5100,1.44,"KOSPI","기타금융",25053683064000
"한국전력",38450,500,1.32,"015760",5439,7.07,13742,2.8,62177,0.62,213,0.55,"KOSPI","전기·가스",24683518760650
"카카오",55800,1700,3.14,"035720",126,442.86,1223,45.62,23100,2.42,68,0.12,"KOSPI","IT 서비스",24664365687600
"LG화학",307000,2000,0.66,"051910",NA,NA,10258,29.93,425221,0.72,1000,0.33,"KOSPI","화학",21671849301000
"현대로템",196700,7600,4.02,"064350",3728,52.76,8441,23.3,18737,10.5,200,0.1,"KOSPI","운송장비·부품",21468289033100
"삼성화재",456000,0,0,"000810",48779,9.35,43466,10.49,366202,1.25,19000,4.17,"KOSPI","보험",20981086680000
"메리츠금융지주",115800,-200,-0.17,"138040",12259,9.45,13337,8.68,56153,2.06,1350,1.17,"KOSPI","기타금융",20845675973400
"SK스퀘어",153000,1000,0.66,"402340",27772,5.51,41128,3.72,142904,1.07,0,0,"KOSPI","기타금융",20278751274000
"우리금융지주",25550,150,0.59,"316140",3950,6.47,4213,6.06,45919,0.56,1200,4.7,"KOSPI","기타금융",18973212850550
"HD현대일렉트릭",489000,-3000,-0.61,"267260",13935,35.09,21172,23.1,41725,11.72,5350,1.09,"KOSPI","전기·전자",17627049015000
"SK이노베이션",114400,-2500,-2.14,"096770",NA,NA,NA,NA,165656,0.69,2000,1.75,"KOSPI","화학",17278378374400
"삼성중공업",18870,-580,-2.98,"010140",75,251.6,851,22.19,4443,4.25,0,0,"KOSPI","운송장비·부품",1.66056e+13
"고려아연",817000,1000,0.12,"010130",9488,86.11,29679,27.53,403756,2.02,17500,2.14,"KOSPI","금속",16359014041000
"KT&G",132500,1000,0.76,"033780",11314,11.71,9315,14.23,85662,1.55,5400,4.08,"KOSPI","음식료·담배",16173280852500
"크래프톤",338500,-2500,-0.73,"259960",28593,11.84,26323,12.86,150187,2.25,0,0,"KOSPI","IT 서비스",16042200801000
"기업은행",19850,-400,-1.98,"024110",3106,6.39,3520,5.64,42570,0.47,1065,5.37,"KOSPI","은행",15828903499650
"삼성SDI",189800,-500,-0.26,"006400",8773,21.63,5485,34.6,289386,0.66,1000,0.53,"KOSPI","전기·전자",15295133594000
"SK",210500,-500,-0.24,"034730",NA,NA,22093,9.53,455927,0.46,7000,3.33,"KOSPI","기타금융",15261818981500
"KT",55900,-500,-0.89,"030200",1912,29.24,6399,8.74,65942,0.85,2000,3.58,"KOSPI","통신",14088012191500
"카카오뱅크",28750,300,1.05,"323410",924,31.11,1129,25.46,13727,2.09,360,1.25,"KOSPI","은행",13713446313750
"LIG넥스원",598000,14000,2.4,"079550",10173,58.78,16635,35.95,55550,10.77,2400,0.4,"KOSPI","금속",1.3156e+13
"LG전자",77100,-800,-1.03,"066570",2036,37.87,7837,9.84,116595,0.66,1000,1.3,"KOSPI","전기·전자",12617246459400
